         1437625 function calls (1419330 primitive calls) in 1.605 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       60    0.002    0.000    0.004    0.000 test_sso.py:86(compute_qoi_violation_score)
      480    0.003    0.000    0.004    0.000 take.py:120(_take_nd_ndarray)
        2    0.000    0.000    0.004    0.002 interval.py:1(<module>)
      556    0.001    0.000    0.004    0.000 managers.py:1863(from_array)
        2    0.000    0.000    0.004    0.002 readers.py:1907(read)
        1    0.000    0.000    0.004    0.004 generic.py:244(NDFrame)
        2    0.000    0.000    0.004    0.002 util.py:1(<module>)
        2    0.000    0.000    0.004    0.002 categorical.py:1(<module>)
      242    0.001    0.000    0.004    0.000 base.py:2313(is_unique)
    29092    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
        3    0.000    0.000    0.004    0.001 accessor.py:1(<module>)
        1    0.000    0.000    0.004    0.004 eval.py:1(<module>)
        1    0.000    0.000    0.004    0.004 readers.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _base.py:1(<module>)
        1    0.000    0.000    0.004    0.004 npyio.py:1(<module>)
      585    0.001    0.000    0.004    0.000 typing.py:175(_type_check)
     8810    0.002    0.000    0.004    0.000 generic.py:37(_check)
    56/15    0.000    0.000    0.004    0.000 typing.py:1294(__getitem__)
     2505    0.002    0.000    0.004    0.000 typing.py:1215(__setattr__)
        2    0.000    0.000    0.004    0.002 dtypes.py:1(<module>)
        1    0.000    0.000    0.004    0.004 testing.py:1(<module>)
      240    0.001    0.000    0.004    0.000 blocks.py:1287(take_nd)
       35    0.001    0.000    0.003    0.000 __init__.py:355(namedtuple)
      118    0.001    0.000    0.003    0.000 inspect.py:2397(_signature_from_function)
        3    0.000    0.000    0.003    0.001 ops.py:1(<module>)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
   368/55    0.001    0.000    0.003    0.000 _compiler.py:37(_compile)
      542    0.001    0.000    0.003    0.000 array_ops.py:189(_na_arithmetic_op)
        1    0.000    0.000    0.003    0.003 _methods.py:1(<module>)
        1    0.000    0.000    0.003    0.003 string_.py:1(<module>)
      747    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
     1288    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:372(release)
      230    0.001    0.000    0.003    0.000 overrides.py:83(verify_matching_signatures)
     1100    0.001    0.000    0.003    0.000 series.py:784(name)
        1    0.000    0.000    0.003    0.003 secrets.py:1(<module>)
      625    0.001    0.000    0.003    0.000 config.py:145(_get_option)
     1595    0.003    0.000    0.003    0.000 base.py:5323(__contains__)
        1    0.000    0.000    0.003    0.003 _npyio_impl.py:1(<module>)
      625    0.002    0.000    0.003    0.000 typing.py:1640(__hash__)
        1    0.000    0.000    0.003    0.003 core.py:1(<module>)
      240    0.002    0.000    0.003    0.000 base.py:3955(_get_indexer)
      184    0.001    0.000    0.003    0.000 warnings.py:133(filterwarnings)
      813    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
